date_time,brawler_name,result,current_trophies,trophy_delta,new_winstreak,playstyle_hash,playstyle_name,playstyle_gamemodes,playstyle_brawlers,pyla_version,power_level
,,,,,,,,,,,
2026-07-19T10:51:12.522339,larrylawrie,victory,0.0,10.0,1.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-19T10:52:50.062247,larrylawrie,victory,10.0,11.0,2.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-19T10:53:57.138603,larrylawrie,victory,21.0,12.0,3.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-19T10:55:25.244091,larrylawrie,victory,33.0,13.0,4.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-19T11:03:21.778270,larrylawrie,victory,46.0,14.0,5.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-19T11:04:12.670870,larrylawrie,victory,60.0,15.0,6.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-19T12:52:32.532540,larrylawrie,victory,75.0,16.0,7.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-19T12:56:24.185234,larrylawrie,victory,91.0,17.0,8.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-19T12:57:34.382891,larrylawrie,victory,108.0,18.0,9.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
